N,Rho,Verteilung_X,Parameter,Avg_Skewness,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
100,0.6,t,{'df': 3},-0.0424,0.2128,0.0143,0.2274,1.7571
100,0.6,t,{'df': 4},-0.0462,0.2653,0.0459,0.2781,41.9068
100,0.6,t,{'df': 5},-0.0244,0.3028,0.086,0.3135,2.4626
100,0.6,t,{'df': 6},-0.0084,0.3288,0.1176,0.3385,11.1791
100,0.7,beta,"{'a': 0.5, 'b': 0.5}",-0.0032,1.1368,0.0182,1.138,1.259
100,0.7,beta,"{'a': 1.0, 'b': 1.0}",-0.0218,1.2204,0.118,1.2212,21.3719
100,0.7,beta,"{'a': 2.0, 'b': 2.0}",-0.015,1.2961,0.6586,1.2967,4.1421
100,0.7,beta,"{'a': 4.0, 'b': 4.0}",-0.0064,1.3534,1.3388,1.3538,3.6968
100,0.7,chisquare,{'df': 2},1.5044,0.1565,-0.0079,0.1675,0.2464
100,0.7,chisquare,{'df': 8},0.8946,0.0423,-0.0057,0.0493,1.0749
100,0.7,chisquare,{'df': 14},0.7043,0.0242,-0.0011,0.0306,4.1766
100,0.7,chisquare,{'df': 20},0.597,0.0171,0.0075,0.0233,0.7166
100,0.7,gamma,"{'shape': 1.0, 'scale': 0.5}",0.3492,0.9417,0.0198,0.9475,3.3748
100,0.7,gamma,"{'shape': 1.0, 'scale': 2.0}",1.5044,0.1565,-0.0084,0.1675,0.2676
100,0.7,gamma,"{'shape': 2.0, 'scale': 4.0}",1.2834,0.0208,-0.0047,0.0279,0.1239
100,0.7,gamma,"{'shape': 4.0, 'scale': 2.0}",0.8946,0.0423,-0.0031,0.0493,0.9698
100,0.7,lognormal,"{'mean': 0.0, 'sigma': 1.0}",2.6401,0.177,0.0056,0.1972,0.2198
100,0.7,lognormal,"{'mean': 0.0, 'sigma': 0.75}",1.431,0.4169,0.0097,0.4336,20.8822
100,0.7,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.4133,0.8269,0.0453,0.8334,11.3883
100,0.7,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.0167,1.2529,0.7713,1.254,94.6229
100,0.7,t,{'df': 3},-0.0396,0.2369,0.0206,0.2504,8.7089
100,0.7,t,{'df': 4},-0.0446,0.2926,0.0484,0.3039,1.7353
100,0.7,t,{'df': 5},-0.0237,0.3313,0.0924,0.3404,11.2449
100,0.7,t,{'df': 6},-0.0094,0.3576,0.1249,0.3658,7.472
100,0.8,beta,"{'a': 0.5, 'b': 0.5}",-0.0038,1.045,0.0044,1.0458,8.9725
100,0.8,beta,"{'a': 1.0, 'b': 1.0}",-0.0212,1.1058,0.1185,1.1063,8.8486
100,0.8,beta,"{'a': 2.0, 'b': 2.0}",-0.0153,1.1594,0.6724,1.1599,127.6271
100,0.8,beta,"{'a': 4.0, 'b': 4.0}",-0.0074,1.1992,1.1649,1.1995,4.6785
100,0.8,chisquare,{'df': 2},1.4315,0.1731,-0.0055,0.1832,0.2447
100,0.8,chisquare,{'df': 8},0.8817,0.0479,-0.0027,0.0542,1.7513
100,0.8,chisquare,{'df': 14},0.6983,0.0275,0.0032,0.0333,2.6133
100,0.8,chisquare,{'df': 20},0.5935,0.0194,0.0066,0.0251,1.2382
100,0.8,gamma,"{'shape': 1.0, 'scale': 0.5}",0.2622,0.8951,-0.0027,0.8991,10.0164
100,0.8,gamma,"{'shape': 1.0, 'scale': 2.0}",1.4315,0.1731,-0.0055,0.1832,0.255
100,0.8,gamma,"{'shape': 2.0, 'scale': 4.0}",1.274,0.0238,-0.0039,0.0302,0.132
